Player Name,Runs/Innings,Strike Rate,Innings/(innings-notouts),Sixes/BF,Fours/BF
A Ashish Reddy,12.17391304,145.0777202,1.533333333,0.07253886,0.088082902
A Chandila,2,57.14285714,#DIV/0!,0,0
A Chopra,8.833333333,74.64788732,1,0,0.098591549
A Choudhary,8.333333333,125,3,0.05,0.05
A Flintoff,20.66666667,116.9811321,1.5,0.037735849,0.094339623
A Kumble,2.058823529,74.46808511,5.666666667,0,0.063829787
A Mishra,6.666666667,93.66391185,1.75862069,0.013774105,0.074380165
A Mithun,4.25,130.7692308,1.6,0.038461538,0.153846154
A Mukund,9.5,86.36363636,1,0,0.045454545
A Nehra,1.863636364,66.12903226,3.142857143,0.016129032,0.048387097
A Singh,0.4,20,1.25,0,0
A Symonds,27.05555556,129.8666667,1.333333333,0.054666667,0.098666667
A Uniyal,2,57.14285714,2,0,0
A Zampa,2.5,62.5,1,0,0.125
AA Bilakhia,9.857142857,81.17647059,1.4,0,0.058823529
AA Chavan,4,109.0909091,1.5,0,0.181818182
AA Jhunjhunwala,13.5625,103.3333333,1.230769231,0.023809524,0.09047619
AA Noffke,9,90,1,0,0.1
AB Agarkar,8.136363636,116.2337662,2.2,0.032467532,0.084415584
AB Barath,14,100,1.5,0.023809524,0.119047619
AB de Villiers,29.43220339,148.165529,1.296703297,0.066979522,0.122440273
AB Dinda,1.529411765,54.16666667,1.7,0,0.041666667
AB McDonald,13.66666667,123,1.8,0.04,0.09
AC Blizzard,17.14285714,133.3333333,1,0.022222222,0.233333333
AC Gilchrist,25.8625,138.3946488,1.052631579,0.061538462,0.159866221
AC Thomas,5,105.2631579,2,0.052631579,0.052631579
AC Voges,25.85714286,126.5734266,1.75,0.020979021,0.104895105
AD Mascarenhas,7.181818182,101.2820513,1.222222222,0.012820513,0.064102564
AD Mathews,17.23809524,125.9130435,1.35483871,0.050434783,0.076521739
AD Nath,5,71.42857143,1,0,0.035714286
AD Russell,22.96,173.4138973,1.136363636,0.111782477,0.145015106
AF Milne,2.333333333,58.33333333,1.5,0,0
AG Murtaza,3.333333333,71.42857143,3,0,0.071428571
AG Paunikar,9.8,84.48275862,1,0,0.155172414
AJ Finch,25.046875,130.4312449,1.103448276,0.048006509,0.138323841
AJ Tye,17.66666667,176.6666667,1.5,0.1,0.133333333
AL Menaria,17.43478261,112.6404494,1.095238095,0.050561798,0.06741573
AM Nayar,13.44,116.4644714,1.315789474,0.034662045,0.095320624
AM Rahane,29.11428571,120.591716,1.153846154,0.023668639,0.126232742
AN Ahmed,6,138.4615385,6,0.038461538,0.153846154
AN Ghosh,3.5,87.5,1,0,0.125
Anirudh Singh,15.75,95.45454545,1,0.015151515,0.090909091
Ankit Sharma,8.7,129.8507463,1.428571429,0.059701493,0.104477612
Ankit Soni,2.333333333,77.77777778,1.5,0.111111111,0
Anureet Singh,4.714285714,76.74418605,1.75,0.023255814,0.046511628
AP Dole,17,154.5454545,1,0.045454545,0.136363636
AP Majumdar,21.75,114.4736842,1,0.026315789,0.092105263
AP Tare,12.10714286,124.1758242,1.166666667,0.04029304,0.146520147
AR Bawne,12,100,#DIV/0!,0,0.083333333
AR Patel,14.09302326,128.1183932,1.433333333,0.059196617,0.071881607
AS Rajpoot,3,46.15384615,2,0,0.076923077
AS Raut,12.125,116.1676647,1.777777778,0.041916168,0.077844311
AS Yadav,8.166666667,125.6410256,1.2,0.051282051,0.128205128
AT Rayudu,22.57943925,126.1618799,1.202247191,0.041253264,0.107049608
AUK Pathan,5.571428571,169.5652174,1.4,0.086956522,0.217391304
Azhar Mahmood,18.47619048,128.0528053,1.105263158,0.04290429,0.128712871
B Akhil,6.909090909,138.1818182,1.833333333,0.090909091,0.090909091
B Chipli,13.33333333,111.5537849,1.4,0.027888446,0.111553785
B Kumar,4.647058824,100.6369427,1.789473684,0.01910828,0.095541401
B Laughlin,2,44.44444444,2,0,0
B Lee,6.526315789,127.8350515,1.9,0.082474227,0.082474227
B Sumanth,8.75,94.59459459,4,0,0.081081081
BA Bhatt,3,85.71428571,2,0.142857143,0
BA Stokes,28.72727273,142.9864253,1.1,0.067873303,0.099547511
Basil Thampi,5.6,100,#DIV/0!,0.035714286,0.035714286
BAW Mendis,1,50,1.5,0,0
BB McCullum,26.72815534,131.2202097,1.051020408,0.059103908,0.132030505
BB Samantray,15.625,110.619469,1.6,0.017699115,0.115044248
BB Sran,1,100,#DIV/0!,0,0
BCJ Cutting,15.5,187.8787879,1.6,0.151515152,0.136363636
BE Hendricks,0.333333333,33.33333333,3,0,0
Bipul Sharma,11,152.0325203,2.125,0.073170732,0.089430894
BJ Haddin,18,163.6363636,1,0.090909091,0.181818182
BJ Hodge,22.22222222,125.2236136,1.5,0.038461538,0.109123435
BJ Rohrer,24.125,137.8571429,1.333333333,0.035714286,0.15
BMAJ Mendis,7.666666667,85.18518519,1,0,0
BR Dunk,13.33333333,114.2857143,1,0,0.2
C de Grandhomme,14,136.9565217,1.125,0.065217391,0.108695652
C Madan,15,78.94736842,1,0,0.157894737
C Munro,10,100,1,0,0.1
CA Ingram,7,80.76923077,1.5,0,0.076923077
CA Lynn,32,158.0246914,1.2,0.094650206,0.127572016
CA Pujara,17.72727273,99.74424552,1.157894737,0.010230179,0.127877238
CH Gayle,36.26,151.2093411,1.136363636,0.110508757,0.122185154
CH Morris,15.13793103,165.6603774,2.416666667,0.086792453,0.124528302
CJ Anderson,20.03846154,129.925187,1.368421053,0.074812968,0.099750623
CJ Ferguson,12.25,83.76068376,1.333333333,0,0.076923077
CJ Jordan,1.5,60,1,0,0
CJ McKay,8,53.33333333,1,0,0
