A Ashish Reddy,0
A Chandila,9
A Choudhary,8
A Flintoff,9
A Kumble,5
A Mishra,9
A Mithun,7
A Nehra,6
A Nel,3
A Singh,9
A Symonds,8
A Uniyal,0
A Zampa,7
AA Chavan,7
AA Jhunjhunwala,3
AA Kazi,0
AA Noffke,6
AB Agarkar,7
AB Dinda,6
AB McDonald,7
Abdur Razzak,9
AC Gilchrist,9
AC Thomas,5
AC Voges,0
AD Mascarenhas,0
AD Mathews,6
AD Russell,7
AF Milne,5
AG Murtaza,7
AJ Finch,5
AJ Tye,9
AL Menaria,9
AM Nayar,6
AM Rahane,4
AM Salvi,7
AN Ahmed,4
Anand Rajan,5
Ankit Sharma,0
Ankit Soni,7
Anureet Singh,8
AP Dole,0
AR Patel,8
AS Rajpoot,5
AS Raut,5
AUK Pathan,2
Avesh Khan,7
Azhar Mahmood,0
B Akhil,5
B Chipli,1
B Geeves,7
B Kumar,8
B Laughlin,0
B Lee,5
B Stanlake,9
BA Bhatt,0
BA Stokes,7
Basil Thampi,9
BAW Mendis,3
BB Sran,7
BCJ Cutting,6
BE Hendricks,3
Bipul Sharma,1
BJ Hodge,4
BJ Rohrer,0
BMAJ Mendis,9
BW Hilfenhaus,1
C de Grandhomme,8
C Ganapathy,0
C Munro,7
C Nanda,9
CH Gayle,0
CH Morris,9
CJ Anderson,9
CJ Jordan,5
CJ McKay,0
CK Kapugedera,9
CK Langeveldt,9
CL White,9
CR Brathwaite,9
CR Woakes,9
CRD Fernando,0
D du Preez,6
D Kalyankrishna,7
D Salunkhe,9
D Wiese,1
DAJ Bracewell,9
DB Ravi Teja,5
DE Bollinger,9
DJ Bravo,9
DJ Harris,5
DJ Hooda,0
DJ Hussey,0
DJ Muthuswami,8
DJ Thornely,6
DJG Sammy,8
DL Chahar,7
DL Vettori,2
DNT Zoysa,9
DP Nannes,6
DP Vijaykumar,9
DR Smith,0
DS Kulkarni,6
DT Christian,4
DW Steyn,0
F du Plessis,9
FH Edwards,7
FY Fazal,0
Gagandeep Singh,9
GB Hogg,9
GD McGrath,6
GH Vihari,0
GJ Maxwell,9
GR Napier,1
GS Sandhu,3
Gurkeerat Singh,5
Harbhajan Singh,8
Harmeet Singh,7
HH Pandya,0
HV Patel,9
I Malhotra,5
I Sharma,0
IC Pandey,9
IK Pathan,8
Imran Tahir,8
Iqbal Abdulla,8
J Botha,0
J Suchith,9
J Syed Mohammad,8
J Theron,7
J Yadav,7
JA Morkel,0
Jaskaran Singh,9
JD Ryder,3
JD Unadkat,9
JDP Oram,1
JDS Neesham,7
JE Taylor,7
JEC Franklin,9
JH Kallis,6
JJ Bumrah,6
JJ van der Wath,0
JM Kemp,6
JO Holder,5
Joginder Sharma,0
JP Duminy,0
JP Faulkner,9
JR Hopes,5
JW Hastings,5
K Goel,8
K Rabada,0
K Santokie,0
K Upadhyay,5
KA Pollard,0
KAJ Roach,7
Kamran Khan,9
Karanveer Singh,0
KC Cariappa,3
KH Pandya,9
KJ Abbott,6
KK Cooper,8
KMDN Kulasekara,5
KP Appanna,0
KP Pietersen,8
KS Williamson,7
Kuldeep Yadav,8
KV Sharma,0
KW Richardson,4
L Ablish,8
L Balaji,7
LA Carseldine,8
LH Ferguson,6
LJ Wright,0
LMP Simmons,9
LPC Silva,0
LR Shukla,1
LRPL Taylor,9
M Ashwin,0
M de Lange,6
M Kartik,0
M Manhas,7
M Morkel,0
M Muralitharan,6
M Ntini,5
M Vijay,3
MA Khote,9
MA Starc,2
Mashrafe Mortaza,9
MB Parmar,1
MC Henriques,9
MF Maharoof,5
MG Johnson,0
MG Neser,7
MJ Clarke,5
MJ Henry,2
MJ McClenaghan,2
MK Tiwary,2
MM Patel,6
MM Sharma,5
MN Samuels,5
Mohammad Asif,6
Mohammad Hafeez,1
Mohammad Nabi,7
Mohammed Shami,9
Mohammed Siraj,9
MP Stoinis,2
MR Marsh,5
MS Gony,7
Mustafizur Rahman,9
N Rana,7
NB Singh,9
ND Doshi,7
NJ Rimmington,9
NL McCullum,8
NLTC Perera,9
NM Coulter-Nile,6
P Amarnath,9
P Awana,6
P Kumar,2
P Negi,9
P Parameswaran,9
P Prasanth,4
P Sahu,3
P Suyal,8
Pankaj Singh,0
Parvez Rasool,1
PC Valthaty,9
PD Collingwood,5
PJ Cummins,0
PJ Sangwan,6
PM Sarvesh Kumar,4
PP Chawla,0
PP Ojha,9
PV Tambe,0
R Ashwin,6
R Bhatia,0
R Dhawan,5
R McLaren,3
R Ninan,9
R Rampaul,9
R Sathish,9
R Sharma,9
R Shukla,3
R Tewatia,1
R Vinay Kumar,0
RA Jadeja,6
RA Shaikh,6
RA Tripathi,7
Rashid Khan,0
RD Chahar,5
RE van der Merwe,8
RG More,8
RG Sharma,5
RJ Harris,0
RJ Peterson,9
RN ten Doeschate,0
RP Singh,9
RR Bhatkal,1
RR Bose,0
RR Powar,5
RR Raje,6
RS Bopara,1
RS Gavaskar,9
RV Gomez,9
RW Price,1
S Aravind,2
S Badree,9
S Dhawan,9
S Gopal,9
S Kaul,1
S Kaushik,9
S Ladda,9
S Nadeem,6
S Narwal,9
S Rana,3
S Randiv,0
S Sreesanth,5
S Sriram,0
S Tyagi,3
S Vidyut,0
SA Abbott,5
SA Yadav,7
Sachin Baby,6
Sandeep Sharma,9
SB Bangar,0
SB Jakati,5
SB Joshi,5
SB Styris,9
SB Wagh,6
SC Ganguly,9
SD Chitnis,5
SE Bond,6
Shahid Afridi,8
Shakib Al Hasan,0
Shivam Sharma,7
Shoaib Ahmed,7
Shoaib Akhtar,0
Shoaib Malik,0
SJ Srivastava,1
SK Raina,9
SK Trivedi,9
SK Warne,7
SL Malinga,5
SM Boland,7
